,Phone_name,Rating,Reviews,Phone_price,Discounted_price,Phone_image
103, Club Mobile Winner,,,,"Rs 3,299",https://images.priceoye.pk/club-mobile-winner-pakistan-priceoye-tzbua-100x100.webp
104, Qmobile Q Nova,,,,"Rs 2,949",https://images.priceoye.pk/qmobile-q-nova-pakistan-priceoye-z7hp5-100x100.webp
105, Realme C71,4.9,41.0,"Rs 37,999","Rs 35,999",https://images.priceoye.pk/realme-c71-pakistan-priceoye-fn5s7-100x100.webp
106, Sego Value 101,5.0,1.0,,"Rs 2,199",https://images.priceoye.pk/sego-value-101-pakistan-priceoye-9uxm7-100x100.webp
107, sego super 4g,,,"Rs 6,000","Rs 4,799",https://images.priceoye.pk/sego-super-4g-pakistan-priceoye-91tg3-100x100.webp
108, Itel ace 2 power,5.0,2.0,"Rs 2,999","Rs 2,849",https://images.priceoye.pk/itel-ace-2-power-pakistan-priceoye-v35xa-100x100.webp
109, Itel it2181,5.0,1.0,,"Rs 2,999",https://images.priceoye.pk/itel-it-2181-pakistan-priceoye-dphfm-100x100.webp
110, Sego Smart 10,5.0,2.0,"Rs 20,999","Rs 19,759",https://images.priceoye.pk/sego-smart-10-pakistan-priceoye-752an-100x100.webp
111, Faywa Eagle 4,5.0,6.0,,"Rs 2,999",https://images.priceoye.pk/faywa-eagle-4-pakistan-priceoye-5x2zd-100x100.webp
112, Dcode Bold 4,5.0,3.0,"Rs 34,999","Rs 27,999",https://images.priceoye.pk/decode-bold-4-pakistan-priceoye-b8ond-100x100.webp
113, Oppo A6 Pro,4.8,6.0,"Rs 89,999","Rs 83,999",https://images.priceoye.pk/oppo-a6-pro-pakistan-priceoye-4ztwe-100x100.webp
114, QMobile Boom 500,,,"Rs 3,349","Rs 2,999",https://images.priceoye.pk/qmobile-boom-500-pakistan-priceoye-s5gru-100x100.webp
115, VGO TEL New 17,,,"Rs 22,000","Rs 20,499",https://images.priceoye.pk/vgo-tel-new-17-pakistan-priceoye-st0nm-100x100.webp
116, Villaon V200S,,,,"Rs 2,199",https://images.priceoye.pk/villaon-v200s-pakistan-priceoye-1yci5-100x100.webp
